epoch,accuracy,loss,val_accuracy,val_loss
0,0.3570440113544464,1.3261126279830933,0.4265129566192627,1.2759524583816528
1,0.641572117805481,0.9837409257888794,0.639769434928894,0.9635204076766968
2,0.8029338717460632,0.5768086314201355,0.7002881765365601,0.793473482131958
3,0.8488790392875671,0.4092063009738922,0.7060518860816956,0.7965074777603149
4,0.8818156719207764,0.3274784982204437,0.7060518860816956,0.8315821290016174
5,0.9125380516052246,0.2661696970462799,0.6887608170509338,0.8824617862701416
6,0.9316357374191284,0.21685189008712769,0.7031700015068054,0.9110686779022217
7,0.9424301385879517,0.18826451897621155,0.6829971075057983,0.9952623248100281
8,0.9565458297729492,0.15525422990322113,0.6858789920806885,1.0450072288513184
9,0.9615278244018555,0.13785651326179504,0.6858789920806885,1.124787449836731
10,0.9620813727378845,0.12466557323932648,0.6685879230499268,1.1428083181381226
11,0.9659562706947327,0.11192134767770767,0.6772334575653076,1.1898555755615234
12,0.9701079726219177,0.10020417720079422,0.6685879230499268,1.208182692527771
13,0.9706615209579468,0.10133720934391022,0.6685879230499268,1.2502667903900146
14,0.9731525182723999,0.08641549199819565,0.680115282535553,1.295058250427246
15,0.9706615209579468,0.08523201942443848,0.6772334575653076,1.324202060699463
16,0.975089967250824,0.07670121639966965,0.6714697480201721,1.3982124328613281
17,0.9748131632804871,0.076734758913517,0.7031700015068054,1.4093955755233765
18,0.9759202599525452,0.07428527623414993,0.6772334575653076,1.4682726860046387
19,0.9775809645652771,0.07052414864301682,0.6743515729904175,1.470251202583313
20,0.975643515586853,0.06834116578102112,0.6599423885345459,1.5286309719085693
21,0.9786880612373352,0.062484752386808395,0.680115282535553,1.5290703773498535
22,0.976473867893219,0.06804727017879486,0.6714697480201721,1.5434534549713135
23,0.9781345129013062,0.06457366794347763,0.6628242135047913,1.5751094818115234
24,0.9775809645652771,0.059286437928676605,0.6743515729904175,1.6458872556686401
